,Name,Actual_price,Selling_price,Overall_rating,No_of_ratings_and_reviews,Reviews,Discount,One_star,Two_star,Three_star,Four_star,Five_star,Postive,Negative,Neutral
242,"ASUS Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1015T Laptop  (15.6 inch, Transparent Silver, 1.9 kg)","₹30,990","₹23,990",3.8,"16,638 Ratings & 2,145 Reviews",",Simply awesome,Great product,Fabulous!,Nice product,Great product,Don't waste your money,Really Nice,Excellent for student who attend online classes.,Good choice,Good",22% off,"7,571","3,467","2,094",954.0,"2,552",10,0,1
243,"Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15IHU6 Gaming Laptop  (15.6 Inch, Shadow Black, 2.25 kg)","₹76,890","₹50,990",4.6,0,,33% off,"7,571","3,467","2,094",954.0,"2,552",0,0,0
244,"acer Nitro 5 Ryzen 5 Hexa Core 5600H - (16 GB/1 TB HDD/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) AN515-45 Gaming Laptop  (15.6 Inch, Shale Black, 2.4 KG)","₹1,29,999","₹1,00,890",4.6,0,,22% off,"7,571","3,467","2,094",954.0,"2,552",0,0,0
245,"DELL Vostro Ryzen 3 Dual Core R3-3250U - (8 GB/1 TB HDD/Windows 11 Home) Vostro 3405 Thin and Light Laptop  (35 cm, Accent Black, 1.59 Kg, With MS Office)","₹50,651","₹37,390",3.8,266 Ratings & 32 Reviews,",Terrific purchase,Just wow!,Perfect product!,Highly recommended,Just okay,Absolute rubbish!,Worst experience ever!,Could be way better,Worst experience ever!,Horrible",26% off,126,55,26,13.0,46,6,3,2
246,"ASUS VivoBook Ultra 14 Core i5 10th Gen - (8 GB + 32 GB Optane/512 GB SSD/Windows 10 Home/2 GB Graphics) X413JP-EB522TS Thin and Light Laptop  (14 inch, Bespoke Black, 1.40 kg, With MS Office)","₹68,990","₹57,990",4.4,777 Ratings & 72 Reviews,",Super!,Mind-blowing purchase,Wonderful,Excellent,Terrific,Good choice,Good for Students,Very Good,Could be way better,Brilliant",15% off,493,195,42,6.0,41,9,0,2
247,"Lenovo Legion 5 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) 15ITH6 Gaming Laptop  (15.6 inch, Phantom Blue, Shadow Black, 2.4 Kg, With MS Office)","₹1,53,490","₹1,15,990",4.1,32 Ratings & 7 Reviews,",Value-for-money,Fabulous!,Perfect product!,Slightly disappointed,Decent product,Does the job",24% off,13,13,4,1.0,1,2,1,4
248,"ASUS VivoBook Flip 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) TP470EA-EC511WS 2 in 1 Laptop  (14 inch, Transparent Silver, 1.50 kg, With MS Office)","₹82,990","₹63,990",4.7,34 Ratings & 5 Reviews,",Mind-blowing purchase,Fabulous!,Excellent,Perfect product!,Wonderful",22% off,26,7,0,1.0,0,4,0,2
249,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LH-HN258T Gaming Laptop  (15.6 Inch, Black Plastic, 2.3 KG)","₹81,990","₹58,990",4.5,"4,451 Ratings & 498 Reviews",",Excellent,Awesome,Terrific,Wonderful,Review after excessive use of 7 days.,Mind-blowing purchase,Awesome,Fabulous!,Highly recommended,Really Nice",28% off,"2,973","1,023",207,64.0,184,8,0,3
250,"ASUS TUF Gaming F17 (2022) Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) FX777ZE-HX052WS Gaming Laptop  (17.3 Inch, Jaeger Gray, 2.60 Kg, With MS Office)","₹1,47,990","₹1,23,990",4.6,(4),,16% off,"2,973","1,023",207,64.0,184,0,0,0
251,"Lenovo Legion 5 Pro Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) 16ITH6H Gaming Laptop  (16 inch, Stingray, With MS Office)","₹2,24,490","₹1,57,990",4.6,10 Ratings & 0 Reviews,,29% off,6,4,0,0.0,0,0,0,0
252,"ASUS Zenbook 13 Intel EVO Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) UX325EA-KG502WS Thin and Light Laptop  (13.3 Inch, Pine Grey, 1.14 Kg, With MS Office)","₹86,990","₹56,990",4.3,10 Ratings & 0 Reviews,,34% off,6,3,0,0.0,1,0,0,0
253,"APPLE MacBook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur) Z12A000D3  (13.3 inch, Gold, 1.29 kg)","₹1,10,900","₹1,09,990",4.7,"7,508 Ratings & 697 Reviews",",Value-for-money,Classy product,Highly recommended,Just wow!,Mind-blowing purchase,Mind-blowing purchase,Fabulous!,Classy product,Terrific,Very Good",0% off,"6,203",889,149,54.0,213,7,0,4
254,"DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-5511 Gaming Laptop  (15.6 inch, Dark Shadow Grey, 2.65 kg, With MS Office)","₹75,826","₹69,490",4.5,11 Ratings & 2 Reviews,",Terrific purchase,Fabulous!",8% off,8,2,0,1.0,0,2,0,1
255,"MSI Prestige 15 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) Prestige 15 A10SC-239IN Thin and Light Laptop  (15.6 inch, Black, 1.6 kg)","₹1,34,990","₹1,13,490",4.3,140 Ratings & 31 Reviews,",Terrific purchase,Not good,Good quality product,Brilliant,Best in the market!,Good quality product,Poor Design,Very close to AWESOME!!!,Super!,Wonderful",15% off,91,31,1,1.0,16,8,2,1
256,"Infinix X1 Slim Series Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL21 Thin and Light Laptop  (14 inch, Starfall Grey, 1.24 kg)","₹49,999","₹29,990",4.2,246 Ratings & 61 Reviews,",Terrific purchase,Nice product,Highly recommended,Brilliant,Just wow!,Excellent,Brilliant,Just wow!,Highly recommended,Terrific purchase",40% off,145,53,18,7.0,23,10,0,1
257,"APPLE 2020 Macbook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MGN73HN/A  (13.3 inch, Space Grey, 1.29 kg)","₹1,17,900","₹1,12,990",4.7,971 Ratings & 110 Reviews,",Perfect product!,Highly recommended,Awesome,Super!,Terrific purchase,Terrific beast for a computer,Great product,Simply awesome,Terrific,Terrific purchase",4% off,804,107,18,6.0,36,10,0,1
258,"ASUS Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) K413EA-EB301WS Thin and Light Laptop  (14 inch, Hearty Gold, 1.40 kg, With MS Office)","₹58,990","₹44,990",4.6,(300),,23% off,804,107,18,6.0,36,0,0,0
259,"Lenovo Thinkpad Ryzen 5 Hexa Core 5600U - (8 GB/512 GB SSD/DOS) E14 AMD Gen3 Thin and Light Laptop  (14 inch, Black, 1.69 kg)","₹78,400","₹56,990",4.4,36 Ratings & 5 Reviews,",Classy product,Simply awesome,Nice product,Worst experience ever!,Absolute rubbish!",27% off,23,10,1,0.0,2,3,1,2
260,"MSI Core i7 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) Modern 14 B11SBU-688IN Thin and Light Laptop  (14 inch, Carbon Gray, 1.3 kg)","₹85,990","₹76,990",4.6,"(61,939)",,10% off,23,10,1,0.0,2,0,0,0
261,"HP HP Envy x360 Ryzen 7 Octa Core 5800U - (16 GB/1 TB SSD/Windows 11 Home) 13-ay1037AU Thin and Light Laptop  (13.3 Inch, Nightfall Black, 1.32 kg, With MS Office)","₹1,16,474","₹96,190",3.1,"(9,041)",,17% off,23,10,1,0.0,2,0,0,0
262,"MSI Katana GF66 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) Katana GF66 11UD-876IN Gaming Laptop  (15.6 Inch, Black, 2.25 kg)","₹1,06,990","₹75,990",4.5,152 Ratings & 28 Reviews,",Good quality product,Highly recommended,Super!,Awesome,Wonderful,Fabulous!,Pretty good,Awesome,Not recommended at all,Just wow!",28% off,106,30,3,5.0,8,9,1,1
263,"ASUS VivoBook K15 OLED (2021) Core i5 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home) K513EA-L523TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 Kg, With MS Office)","₹1,00,990","₹63,990",4.3,396 Ratings & 57 Reviews,",Wonderful,Terrific,Best in the market!,Brilliant,Good quality product,Best in the market!,Wonderful,Mind-blowing purchase,Awesome,Just wow!",36% off,233,115,19,7.0,22,9,0,2
264,"ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹56,990","₹39,990",3.9,16 Ratings & 0 Reviews,,29% off,6,6,2,1.0,1,0,0,0
265,"Infinix INBook X1 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop  (14 inch, Starfall Grey, 1.48 kg)","₹59,999","₹39,990",4.1,"1,001 Ratings & 170 Reviews",",Perfect product!,Wonderful,Terrific,Super!,Terrific purchase,Best in the market!,Simply awesome,Terrific purchase,Worth every penny,Mind-blowing purchase",33% off,571,223,81,27.0,99,9,0,2
266,"HP Pavilion Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) 15-eh1101AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.75 Kg, With MS Office)","₹70,419","₹54,999",4.5,134 Ratings & 21 Reviews,",Simply awesome,Nice product,Wonderful,Mind-blowing purchase,Terrific,Really Nice,Super!,Terrific purchase,Good quality product,Moderate",21% off,91,29,8,2.0,4,8,0,3
267,"Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15IHU6 Gaming Laptop  (15.6 Inch, Shadow Black, 2.25 kg)","₹76,890","₹50,990",4.6,0,,33% off,91,29,8,2.0,4,0,0,0
268,"acer Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) Z2-493 Thin and Light Laptop  (14 inch, Rose Gold, 1.5 Kg)","₹43,999","₹30,990",4.6,"(61,939)",,29% off,91,29,8,2.0,4,0,0,0
269,"HP OMEN Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/144 Hz) 16-B1361TX Gaming Laptop  (16.1 inch, Shadow Black, 2.32 kg, With MS Office)","₹1,55,490","₹1,39,990",4.6,(22),,9% off,91,29,8,2.0,4,0,0,0
270,"Lenovo Legion 5 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) 15IMH6 Gaming Laptop  (15.6 inch, Phantom Black, 2.3 kg)","₹78,089","₹70,990",4.6,(17),,9% off,91,29,8,2.0,4,0,0,0
271,"Lenovo Legion 5 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) 15ITH6 Gaming Laptop  (15.6 inch, Phantom Blue, Shadow Black, 2.4 Kg, With MS Office)","₹1,53,490","₹1,15,990",4.1,32 Ratings & 7 Reviews,",Value-for-money,Fabulous!,Perfect product!,Slightly disappointed,Decent product,Does the job",24% off,13,13,4,1.0,1,2,1,4
272,"acer Intel EVO Swift 5 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) SF514-55TA Thin and Light Laptop  (14 Inch, Mist Green, 1.05 Kg, With MS Office)","₹1,09,999","₹74,990",4.6,"(61,939)",,31% off,13,13,4,1.0,1,0,0,0
273,"MSI GF65 Thin Hexa Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 1660 Ti/144 Hz) GF65 Thin 10SDR-1283IN Gaming Laptop  (15.6 inch, Black, 1.86 KG)","₹99,990","₹75,990",4.6,627 Ratings & 116 Reviews,",Excellent,Fair,Great product,Pretty good,Terrific,Terrific,Delightful,Great product,Super!,Perfect product!",24% off,445,136,20,7.0,19,10,0,1
274,"MSI Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070) Crosshair 15 Rainbow Six Extraction Edition B12UGZ-032IN Gaming Laptop  (15.6 inch, Black, 2.47 kg)","₹1,90,990","₹1,79,990",4.6,"(61,939)",,5% off,445,136,20,7.0,19,0,0,0
275,"Lenovo Legion 5 Pro Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) 16ITH6H Gaming Laptop  (16 inch, Stingray, With MS Office)","₹2,24,490","₹1,57,990",4.6,10 Ratings & 0 Reviews,,29% off,6,4,0,0.0,0,0,0,0
276,"acer Predator Helios 300 Core i9 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/360 Hz) PH315-54 Gaming Laptop  (15.6 Inch, Abyssal Black, 2.3 Kg)","₹1,69,999","₹1,39,990",5.0,4 Ratings & 0 Reviews,,17% off,4,0,0,0.0,0,0,0,0
277,"HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dy1049TU Thin and Light Laptop  (14 Inch, Spruce Blue, 1.52 Kg, With MS Office)","₹85,837","₹72,190",3.1,"(1,082)",,15% off,4,0,0,0.0,0,0,0,0
278,"MSI Katana GF66 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) Katana GF66 11UC-628IN Gaming Laptop  (15.6 inches, Black, 2.25 kg)","₹1,17,990","₹87,990",4.4,301 Ratings & 37 Reviews,",Just wow!,Great Experience with Flipkart and a Good Purchase,Terrific,Fair,Classy product,Simply awesome,Awesome,Wonderful,Worth the money,Simply awesome",25% off,204,68,6,5.0,18,10,0,1
279,"Lenovo ThinkBook 13s Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home) TB13s ITL Gen 2 Thin and Light Laptop  (13 inch, Mineral Grey, 1.26 kg, With MS Office)","₹1,48,158","₹85,990",3.8,13 Ratings & 5 Reviews,",Worst experience ever!,Super!,Decent product,Terrific purchase",41% off,5,4,2,0.0,2,2,1,2
280,"MSI GF65 Thin Hexa Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/144 Hz) GF65 Thin 10UE-290IN Gaming Laptop  (15.6 inch, Black, 1.86 KG)","₹1,06,990","₹79,990",4.6,455 Ratings & 64 Reviews,",Bank for your buck,Sweet and Sour combo,Simply awesome,Wonderful,Best in the market!,Worth every penny,Value-for-money,Excellent,Terrific purchase,Overwhelmed with Joy..",25% off,326,92,15,6.0,16,8,0,3
281,"ASUS Zenbook 14X (2022) Space Edition Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX5401ZAS-KN521WS Thin and Light Laptop  (14 inch, Titanium, 1.40 kg, With MS Office)","₹1,40,990","₹1,14,990",4.6,(37),,18% off,326,92,15,6.0,16,0,0,0
282,"ASUS VivoBook K15 OLED Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L513WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 Kg, With MS Office)","₹80,990","₹60,990",4.5,174 Ratings & 25 Reviews,",Super!,Very Good,Fabulous!,Delightful,Simply awesome,Excellent,Super!,Terrific purchase,Fabulous!,Must buy!",24% off,124,31,9,2.0,8,9,0,2
283,"HP Pavilion x360 Convertible Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-dy0207TU Thin and Light Laptop  (14 inch, Natural Silver, 1.52 kg, With MS Office)","₹69,267","₹54,470",4.7,3 Ratings & 2 Reviews,,21% off,2,1,0,0.0,0,0,0,0
284,"acer Aspire 5 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) A515-56-51EV Thin and Light Laptop  (15.6 inch, Pure Silver, 1.65 kg, With MS Office)","₹75,999","₹49,990",4.2,252 Ratings & 28 Reviews,",Wonderful,Great product,Classy product,Nice product,Just okay,Brilliant,Excellent,Terrific,Noisy fan, overheating, blank screen within 15 days,Great product",34% off,144,64,18,4.0,22,10,0,3
285,"Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15ACH6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 kg, With MS Office)","₹1,04,890","₹73,990",4.1,15 Ratings & 5 Reviews,",Great product,Really Nice,Nice,Very Good,Poor Battery life",29% off,5,7,3,0.0,0,4,1,1
286,"ASUS Vivobook Gaming Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) F571GT-HN1062T Gaming Laptop  (15.6 inch, Star Black, 2.14 kg)","₹77,990","₹49,990",4.3,435 Ratings & 55 Reviews,",Worth every penny,Fabulous!,Terrific purchase,Super!,Worth every penny,Terrific purchase,Great product,Fabulous!,Just wow!,Terrific",35% off,243,134,24,4.0,30,10,0,1
287,"ASUS ROG Zephyrus G14 Ryzen 7 Octa Core 4800HS - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) GA401IHR-K2066TS Gaming Laptop  (14 inch, Eclipse Gray, 1.60 Kg)","₹1,23,990","₹74,990",4.5,277 Ratings & 29 Reviews,",Perfect product!,Classy product,Fabulous!,Classy product,Terrific purchase,Awesome,Awesome,The best!,Excellent,Awesome",39% off,196,56,14,2.0,9,10,0,1
288,"DELL Vostro Ryzen 3 Dual Core R3-3250U - (8 GB/1 TB HDD/Windows 11 Home) Vostro 3405 Thin and Light Laptop  (35 cm, Accent Black, 1.59 Kg, With MS Office)","₹50,651","₹37,390",3.8,266 Ratings & 32 Reviews,",Terrific purchase,Just wow!,Perfect product!,Highly recommended,Just okay,Absolute rubbish!,Worst experience ever!,Could be way better,Worst experience ever!,Horrible",26% off,126,55,26,13.0,46,6,3,2
289,"ASUS VivoBook Flip 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) TP470EA-EC511WS 2 in 1 Laptop  (14 inch, Transparent Silver, 1.50 kg, With MS Office)","₹82,990","₹63,990",4.7,34 Ratings & 5 Reviews,",Mind-blowing purchase,Fabulous!,Excellent,Perfect product!,Wonderful",22% off,26,7,0,1.0,0,4,0,2
290,"ASUS Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1015T Laptop  (15.6 inch, Transparent Silver, 1.9 kg)","₹30,990","₹23,990",3.8,"16,638 Ratings & 2,145 Reviews",",Simply awesome,Great product,Fabulous!,Nice product,Great product,Don't waste your money,Really Nice,Excellent for student who attend online classes.,Good choice,Good",22% off,"7,571","3,467","2,094",954.0,"2,552",10,0,1
291,"Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15IHU6 Gaming Laptop  (15.6 Inch, Shadow Black, 2.25 kg)","₹76,890","₹50,990",4.6,0,,33% off,"7,571","3,467","2,094",954.0,"2,552",0,0,0
292,"Infinix X1 Slim Series Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL21 Thin and Light Laptop  (14 inch, Starfall Grey, 1.24 kg)","₹49,999","₹29,990",4.2,246 Ratings & 61 Reviews,",Terrific purchase,Nice product,Highly recommended,Brilliant,Just wow!,Excellent,Brilliant,Just wow!,Highly recommended,Terrific purchase",40% off,145,53,18,7.0,23,10,0,1
293,"acer Predator Helios 300 Core i5 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060/144 Hz) PH315-53-594S Gaming Laptop  (15.6 inch, Abyssal Black, 2.5 kg)","₹1,30,990","₹94,990",4.6,983 Ratings & 135 Reviews,",Best budget RTX 2060,Best in the market!,Brilliant,Value-for-money,Terrific,Highly recommended,Awesome,Worth the money,Must buy!,Does the job",27% off,756,161,32,12.0,22,7,0,4
294,"APPLE 2020 Macbook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MGN73HN/A  (13.3 inch, Space Grey, 1.29 kg)","₹1,17,900","₹1,12,990",4.7,971 Ratings & 110 Reviews,",Perfect product!,Highly recommended,Awesome,Super!,Terrific purchase,Terrific beast for a computer,Great product,Simply awesome,Terrific,Terrific purchase",4% off,804,107,18,6.0,36,10,0,1
295,"Lenovo Legion 5 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) 15ITH6 Gaming Laptop  (15.6 inch, Phantom Blue, Shadow Black, 2.4 Kg, With MS Office)","₹1,53,490","₹1,15,990",4.1,32 Ratings & 7 Reviews,",Value-for-money,Fabulous!,Perfect product!,Slightly disappointed,Decent product,Does the job",24% off,13,13,4,1.0,1,2,1,4
296,"APPLE 2022 MacBook Pro M2 - (8 GB/512 GB SSD/Mac OS Monterey) MNEQ3HN/A  (13.3 Inch, Silver, 1.38 Kg)",0,"₹1,49,900",5.0,3 Ratings & 0 Reviews,,0% off,3,0,0,0.0,0,0,0,0
297,"ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹56,990","₹39,980",3.9,16 Ratings & 0 Reviews,,29% off,6,6,2,1.0,1,0,0,0
298,"Lenovo Thinkpad Ryzen 5 Hexa Core 5600U - (8 GB/512 GB SSD/DOS) E14 AMD Gen3 Thin and Light Laptop  (14 inch, Black, 1.69 kg)","₹78,400","₹56,990",4.4,36 Ratings & 5 Reviews,",Classy product,Simply awesome,Nice product,Worst experience ever!,Absolute rubbish!",27% off,23,10,1,0.0,2,3,1,2
299,"Lenovo Legion 5 Pro Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) 16ITH6H Gaming Laptop  (16 inch, Stingray, With MS Office)","₹2,24,490","₹1,57,990",4.6,10 Ratings & 0 Reviews,,29% off,6,4,0,0.0,0,0,0,0
300,"HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dy1049TU Thin and Light Laptop  (14 Inch, Spruce Blue, 1.52 Kg, With MS Office)","₹85,837","₹71,990",4.0,"(1,082)",,16% off,6,4,0,0.0,0,0,0,0
301,"MSI Katana GF66 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) Katana GF66 11UD-876IN Gaming Laptop  (15.6 Inch, Black, 2.25 kg)","₹1,06,990","₹75,990",4.5,152 Ratings & 28 Reviews,",Good quality product,Highly recommended,Super!,Fabulous!,Awesome,Wonderful,Pretty good,Awesome,Just wow!,Excellent",28% off,106,30,3,5.0,8,10,0,1
302,"ASUS TUF Gaming F17 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/144 Hz) FX766LI-HX185T Gaming Laptop  (17.3 inch, Gray Metal, 2.6 KG)","₹96,990","₹70,990",4.2,25 Ratings & 5 Reviews,",Super!,Classy product,Expected a better product,Wonderful,Excellent",26% off,14,5,3,2.0,1,5,0,1
303,"ASUS VivoBook K15 OLED (2021) Core i5 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home) K513EA-L523TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 Kg, With MS Office)","₹1,00,990","₹63,990",4.3,396 Ratings & 57 Reviews,",Wonderful,Terrific,Best in the market!,Brilliant,Good quality product,Best in the market!,Wonderful,Mind-blowing purchase,Awesome,Just wow!",36% off,233,115,19,7.0,22,9,0,2
304,"acer Predator Helios 300 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) PH315-55 Gaming Laptop  (15.6 Inch, Abyssal Black, 2.6 KG)","₹1,99,999","₹1,89,990",4.6,(26),,5% off,233,115,19,7.0,22,0,0,0
305,"acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) A515-56-56LN Thin and Light Laptop  (15.6 inch, Pure Silver, 1.65 kg, With MS Office)","₹69,999","₹59,390",4.4,74 Ratings & 5 Reviews,",Best in the market!,Brilliant,Nice,Nice,Worthless",15% off,45,21,4,1.0,3,4,1,1
306,"HP HP Envy x360 Ryzen 7 Octa Core 5800U - (16 GB/1 TB SSD/Windows 11 Home) 13-ay1037AU Thin and Light Laptop  (13.3 Inch, Nightfall Black, 1.32 kg, With MS Office)","₹1,16,474","₹96,190",3.1,"(9,041)",,17% off,45,21,4,1.0,3,0,0,0
307,"Lenovo Legion 5 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) 15IMH6 Gaming Laptop  (15.6 inch, Phantom Black, 2.3 kg)","₹78,089","₹70,990",4.6,(17),,9% off,45,21,4,1.0,3,0,0,0
308,"DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10) Inspiron 5518 Thin and Light Laptop  (15.3 Inch, Platinum Silver, 1.65 KG, With MS Office)","₹88,837","₹70,790",4.2,91 Ratings & 13 Reviews,",Brilliant,Best in the market!,Terrific purchase,Wonderful,Mind-blowing purchase,Simply awesome,Not good,Simply awesome,Terrific,Awesome",20% off,54,23,1,1.0,12,8,1,2
309,"HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-DU1066TU Thin and Light Laptop  (15.6 Inch, Jet Black, 1.76 KG, With MS Office)","₹43,090","₹41,000",4.1,"1,134 Ratings & 119 Reviews",",Just okay,Good quality product,Classy product,Simply awesome,Good choice,Terrific,Fair,Really Nice,Worth every penny,Wonderful",4% off,589,309,95,43.0,98,10,0,1
310,"acer Predator Helios 300 Core i9 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/360 Hz) PH315-54 Gaming Laptop  (15.6 Inch, Abyssal Black, 2.3 Kg)","₹1,69,999","₹1,39,990",5.0,4 Ratings & 0 Reviews,,17% off,4,0,0,0.0,0,0,0,0
311,"MSI GF65 Thin Hexa Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 1660 Ti/144 Hz) GF65 Thin 10SDR-1283IN Gaming Laptop  (15.6 inch, Black, 1.86 KG)","₹99,990","₹75,990",4.6,627 Ratings & 116 Reviews,",Excellent,Fair,Great product,Pretty good,Terrific,Terrific,Delightful,Great product,Super!,Perfect product!",24% off,445,136,20,7.0,19,10,0,1
312,"DELL Inspiron Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Inspiron 3501 Laptop  (15 inch, Accent Black, 1.83 kg, With MS Office)","₹44,634","₹39,990",4.4,668 Ratings & 65 Reviews,",Good quality product,Mind-blowing purchase,Great product,Best in the market!,Pretty good,Just wow!,Best in the market!,Good choice,Value-for-money,Awesome",10% off,424,147,51,9.0,37,8,0,3
